Author,Comment Posted,Content,Like
venyl ralph obsiana,1 week ago,THANK YOU YOU CHAMP FOR INSPIRING ME LONG LIVE,6
mfpv_detroit,1 week ago,Gonna miss a legend,2
john texas,1 week ago,One of the greatest of all time,2
Joseph Salas,1 week ago,Good bless to All . thank you Sir Manny Pacquiao,8
Wardrobe Chronicles,1 week ago,TRUE CLASS ACT! He takes the bow with his head held high!💯,26
ALBY,1 week ago,Thank you Manny the Boxing world will miss you 👏👏👏🐐,2
choice12ozborne,1 week ago,Maybe if we're fortunate we can look at Offspring one day and tell them that we got an opportunity to watch this guy,1
Rj Plameras,6 days ago,Man i remember seeing him stop jorge solis as a kid and that was the first time ive ever seen him fight live.Since then ive been following him.Glad hes retired and hope he does win presidency,
Mr. Awesome,1 week ago,"tHank you Sen. Manny we will miss you in the ring,  true GOAT in the sports of boxing.",
Adrian Ceasar,1 week ago,Today i will cry a little ... thank you Pac man thank you for all the nights and emotions .. thank you for the joy . God Bless you,2
SUN god nika,1 week ago,"The only 8 division champion ☺️
                                                     🙏",3
allen panicker,1 week ago,Damn what a guy. Absolutely world class fighters and Man. Best of luck in presidency,2
J Gil,1 week ago,Once in a lifetime fighter. Never will be another Manny Pacquiao.,1
Faith Camille,1 week ago,Thank You Manny waht a Legend you are ❤👊👏 The Goat 🐐❤,1
Dan Winchester,1 week ago,We will miss you champ. For me you are the Goat in boxing,1
Darryl Flinch,1 week ago,Go Pacman!  Yeah that moment when both were hoping about to fight soon. Mayweather vs Pacman.,
Tavernum,1 week ago,Very well done Manny,3
PABLO CAMACHO,1 week ago,Woah.. why does it feel like he just died? See him in the ring with KSI soon 😂,1
Jorge Colon,1 week ago,God bless you my brother champ for life,1
dcta51,6 days ago,Still think the Spence fight would've been crazy. Win or Lose,
tutpik 2015,1 week ago,The only 8 division champion,3
ToxicToons13,1 week ago,He will be missed,2
Castor Troy,1 week ago,Manny the Legend !!!!!!,1
Taamaho,1 week ago,Thank you manny,2
G1Main,1 week ago,Legendary.,1
SHOĶ PRÖF,1 week ago (edited),CONGRATS 🥊M.💯P.🥊,1
Jeh Dee,1 week ago,Top 15 all time great and the 2nd best of his era!  Congrats to the champ!,3
CHRIS GEMINI,1 week ago,Goat boxer even more of goat person.,1
Geno,1 week ago,It’s been a privilege,
Silky Johnson,1 week ago,Manny always brought the fight fans always got their money worth and never needed to be a circus show through his whole career never changed not many can say that he made boxing a better sport,
Mr. Funny man,1 week ago,Goat all time great,1
Jorge Campacos,1 week ago,I'm lucky Fan because I have a picture of him and me. He was here in San Antonio for the Barrera fight. Big smile on his face.,1
Jhonver Maygay,1 week ago,Good bye manny pacquiao sad but true it's time to you to retire amazing accomplishment..,2
GonZaLvO RoMeO,1 week ago,Chill guys... idol manny pacquiao will fight again on the last quarter of 2022:),
JAE GATS,1 week ago,Enjoy retirement champ,1
Reality_Popstar,1 week ago,"Sad moment for all boxing fans
#pacman
Fan for life",1
MadMike,1 week ago,Thank you Idol,1
Sherwin Ybañez,1 week ago,"I really hate him as a politician, but I can't deny that I'd been a diehard fan of him.  There will never be a next Manny Pacquiao.",14
وسام الجهاد الكبير - GRAND ORDER OF JIHAD,1 week ago,He should have at least fought one more time with a not so good boxer to end his career with a win.,5
Zinco Basco,1 week ago,"No doubt he is a GOAT of that era in boxing,8 devision,5lineal champ,and 4 deacde champ..",
Brian Pagaduan,1 week ago,GOAT,3
ociv delos,1 week ago,Well said sir,
Ed Rock,1 week ago,Thank Goodness that he never got in the ring with Spence it would have been all bad for Pacquiao. Pacquiao’s legacy was done after his loss to Floyd Mayweather that was and will always be his legacy fight. He was billed as the fighter of the decade in the fight of the century against Floyd. Arum built Pacquiao’s career on his alleged abilities to beat Floyd. Arum and Roach blocked the fight from happening for the feeble reason of drug testing. 2012 Floyd offered Pacquiao 40Million! Arum and Koncz said no! Why? To milk and rob Pacquiao some more fighting trilogies and one Juan Manuel Marquez in 2012 for the Fourth time resulting in a devastating KO! That was essentially the end of his career! Yet the Floyd fight happened n 2015 and Pacquiao was made to look amateurish and unskilled against a masterclass boxer! That is the real story that Pacquiao was never in the class of Floyd! If Floyd got to fight him instead of JMM he would of beat him in 2009. Ending 6 years of hype and BS about Floyd being scared and ducking Pacquiao! Conveniently Pacquiao fights Thurman and eek’s out a close split decision against Keith Thurman and Pacquiao is deemed better than Floyd who is retired doing exhibitions for 100million. He is battered so badly in that fight with Thurman he took two year’s from boxing 🥊 He still needs money so he is taking another fight to try and change his legacy against Spence! Thankfully that never occurred and Yordenis Ugas beats Pacquiao easily.,1
Gabriel Apilado,1 week ago,GOAT OF BOXING !!!!!! NO DEBATE,7
HazeThe_Alchemist11,1 week ago,STRAIGHT WARRIOR,1
Tekato Anime YT,1 week ago,"Hurts not to see this legend again in the ring, but it was a legendary career. Goodluck manny and stay the way you are.. We will miss you!",
TBE 50 - 0 Mayweather,1 week ago (edited),"Damn Spence missed out on that pac fight 
Wonder who he’s got his eye 👁 on next 
Lmao",7
Jdr Accurate,1 week ago,There will never be another Manny Pacquiao because he is the G.O.AT.!!,
David Done,1 week ago,What a legend but i am so glad he has stopped now xxxx,
tiger stripe,1 week ago,2nd best of his era and top 15 goat,1
AnimeHero Ch,1 week ago,i been a Pacquaiao fan since 2003 i was in high school i was like 16 and i have wittiness his fights on tv and i knew from the start he was gonna be special and now he legend status the only!! 8 time world champion i remember watching his fight with my dad and saying son come here look at this filipino guy and i watched the fight with him and dam i am soo proud bring us filipino from the ashes to the world stage proud to be filipino HE WELL TRULY BE THE NEXT PRESIDENT OF THE PHILIPPINES!!,
cr 7,1 week ago,GOAT,
ZU Co,1 week ago,The only 8 division world champion,1
DHR69,1 week ago,Soon as he failed in his presidential race we will hear him again saying boxing is my passion🤣🤣🤣,1
bugsta2012,1 week ago,Was easy work for Floyd 💯,1
4th,6 days ago,Why is there no movie of this man made yet,
nobody exceptme,1 week ago,So long champ,1
Amer Sayyed-Fassad Al Houssaini,1 week ago,Americans will never understand that manny didnt only gave us filipinos glory but also hope. At the end of the day filipinos are the only ones that can fully appreciate and understand what mannys greatness meant to us. Hes always been a symbol of hope for the philippines a third world country with rampant poverty. Thats why he will always be loved by the filipinos whatever happens,
itzerisado meeiot,1 week ago,goodbye 8 division champ titan... #NOFEAR #Thedestroyer #PACMAN #Thesenator,
Shardae Loading,1 week ago,😆,
Bricsio,1 week ago (edited),Mabuhay ang Pilipinas HE WILL BE BACK TO FIGHT IN LATE 2022 OR EARLY 2023 IF AND WHEN HE DOESNT WIN IN THE PRESIDENTIAL ELECTIONS IN MID 2022.  HE WOULD HAVE SPENT MAJOPRITY OF HIS EARNINGS IN  THE ELECTIONS THAT HE WOULD WANT TO RECOUP HIS LOSSES IF AND WHEN HE LOSES IN THE ELECTIONS. THAT IS THE REALITY OF THIS SITUATION.,
Eric Magz,1 week ago,I respect his decision. BUT I think hes making a choice he will regret soon.. He will be drawn back out of retirement inside 2 years when he really is a COMPLETELY shot fighter and actually should be retired... Hes not even shot yet. He just fought another Defensive fighter who's style he ALWAYS looks terrible against. ,
The Introvert Gospel Music,1 week ago,"My Grandfather told me about Muhammad Ali
My Father told me about Mike Tyson
And I will tell my kids about ""The Greatest in his era"" ""MANNY PACQUIAO"". Thanks champ!",10
Thon Gardiola,1 week ago,🇵🇭🇵🇭🇵🇭,
Lucky Ripz,1 week ago,Never to late for Paxman vs Floyd 2,1
The Entrep Man,1 week ago,Tatamlay na naman ang PH Boxing.,
NoLimits,1 week ago,Politics destroy him,
Panty Sniffer,1 week ago,"i believe he has more to give and could still fight if he wanted to, he wants to run for president in the philippines. He might just do exhibition fights.",
raked mada,1 week ago,he will be back for money.. hahahaha its just a prank! maring nag sasabi na taga gensan hakob daw to.. magaling lang mag bigay ng pera pag may camera pro pag wala.. d mo malapitan yan.. idol kita bilang manny Pacquiao ng boxing.. pro wala ka pag tumakbo ka ng presidente,
Yolly Pancho,6 days ago,I don't think he's going to win Manny spend all your money in a poor people in the Philippines'.,
MoKush 4Me,1 week ago (edited),Damn..I wanted to see Spence send him out flat on his back…,3
future trunks,1 week ago,Pacman speaks broken english. Someone typed that,1
Estevan Martinez,1 week ago,"This kinda hurts. This man did everything u could ever do in boxing and is such an inspiration. We were blessed to be fans in his era and lucky to witness the phenomenon that was Manny Pacquiao. I'm sad that it's the end of the road for the Pac Man in terms of boxing. Truly a significant retirement and change for the sport. I'm already missing him, but I await his continued success in his new pursuits. What an idol.",
D O O M,1 week ago,goat,1
SUN god nika,1 week ago,The start of new era,
Matty Boy,1 week ago,Sad day for boxing and all pac fans,9
Chris White,1 week ago,Damn Errol missed out that opportunity,
Red Baron,1 week ago,What an idiotic way to retire!! . . . Losing a fight and running for Presidency of a sovereign republic!!,
Author,Comment Posted,Content,Like
The Introvert Gospel Music,1 week ago,"My Grandfather told me about Muhammad Ali
My Father told me about Mike Tyson
And I will tell my kids about ""The Greatest in his era"" ""MANNY PACQUIAO"". Thanks champ!",18
Linkin Chris,1 week ago,Every fight of pac was a tradition watching together with my family he is an inspiration one of the G.O.A.T thank you manny and thank you ellie salute and godbless,10
Kay Vee,1 week ago,"""Part of the Journey Is the end"". Thankyou Manny and thanks Ellie for the comprehensive coverage!!",4
Melchi Tulio,1 week ago,Ellie Sechback reporting from covering Manny training until Manny retirement. Thanks Ellie ❤️🥊keep supporting Filipino boxer in US by also covering them 🇵🇭,4
Anna Maria Kristina,1 week ago (edited),Manny we will miss you 🥲 the best ever . One of a kind and one of a million kind of man .,7
Team LENi at KiKO,1 week ago,Thank You Manny Paquiao. You will always be forever in our hearts.,6
Gee Man,1 week ago,Thanks for all the years manny tbe...and thanks Elie for all the great coverage on pacquio loved all your coverage,2
Kenslig Bisdak,1 week ago,Thank you so much Elie!! for the great memories covering Manny Pacquiao incredible career.. God Bless you bro.,2
Adrian Magadia,1 week ago,"One of the best to ever lace up the gloves. Won't find another like him in a long time 👏 
#ThankyouPacman
#ThePeoplesChamp",1
Michael Susada,1 week ago,Hands down thanks pac 4 all the memories🥊💯,6
Silvino Dumaran,1 week ago,"thank you also ellie for being part of the coverage of manny fight we will miss manny the boxer,the warrior,the GOAT ellie thank you again reporting.",1
Aaron Enfermo,1 week ago,Thank you champ for a 4decades you entertain us.... Salute to you Sir Manny.,2
Melvin Bautista,1 week ago,Thank you also Elie for the love you always gave to Manny Pacquiao... shalom,1
Jhonver Maygay,1 week ago (edited),Pacquiao No fear no ducking I love you manny.. the entertainment fighter that I have ever seen.,2
erwin maceda,6 days ago,Ellie sechback you also a legendary vlogger of manny pacquaio i remember i had been watching you for a decade as well thank you for covering the activities of pacman during his training.,2
Erlando Castillo,6 days ago,Thanks you very much Ellie to your Always Support our very own MP Salute you homie ❤️,1
Kenn kentoy,1 week ago,"He is the reason why i love and always watching boxing.
Now i have no reason to.watch boxing",2
Alejo Garcia jr,5 days ago,We pinoys u are part of our lifes coz of manny covering everything,1
Jayson Acosta,1 week ago,"i cried it's so sad
I never thought this will happen",1
Francis King,1 week ago,When my nephew grows up 20 years from now.. let me tell u a story about a boxer name manny pacquiao..,3
Alejo Garcia jr,5 days ago,Imagines 985 millions views all over d world coz of covering manny,1
Vin Adajar,6 days ago,How long you’ve been covering Manny’s career?,1
Alejo Garcia jr,5 days ago,Post them we pinoys loves you eznews,1
boy banat,2 days ago,"pacquiao will be back if he lose to election,  he will fight one last time one last final show in the ring",
jamesway,1 week ago,Now Floyd will come out of retirement,2
Alejo Garcia jr,5 days ago,Although its soo sad but another world history to followed being president d boxer to be presidents thats amazing,1
Kapampangansaudiboy,1 week ago,"Manny pacquiao is the ""GOAT"".",2
Alejo Garcia jr,5 days ago,My nephew in vegas my sister in newyork my nephew in connecticut what more im alone here  ur welcomes we loves you soo much,1
Wilmore Lacatan,6 days ago,"We will definitely miss 'reporting""",
Alejo Garcia jr,5 days ago,Im sure u will miss soo soo soo much seeing manny d only way visit our country n ill gives u house n foods to stay,1
Hajankimofficial,1 week ago,GOAT,
Sounthone Phackdy,1 week ago,"Big fan of Manny too, the one and the only Pacman  Pacq.......... cheers from Laos!",2
Alejo Garcia jr,5 days ago,Who knows he will decide oneday  the ladt fight but how,1
Alejo Garcia jr,5 days ago,Come to philippines pls pls pls,1
bina yuson,1 week ago,"That's why I don't want to be close to nice people,coz when they leave it really really hurts.",
Kenn kentoy,1 week ago,Manny 😢😭💔💔,1
Faith Camille,1 week ago,Manny 🐐🐐🐐🐐,
Alejo Garcia jr,5 days ago,Im sures eznews will cry aldo like me,1
Amer Sayyed-Fassad Al Houssaini,1 week ago,Americans will never understand that manny didnt only gave us filipinos glory but also hope. At the end of the day filipinos are the only ones that can fully appreciate and understand what mannys greatness meant to us. Hes always been a symbol of hope for the philippines a third world country with rampant poverty. Thats why he will always be loved by the filipinos whatever happens,
Alejo Garcia jr,5 days ago,Can i request you eznews during campaign can help us also free accomodations n free good ok,1
bina yuson,1 week ago,Your dog feels you too.he looks sad to me.,
Thon Gardiola,1 week ago,🇵🇭🇵🇭🇵🇭,
Alejo Garcia jr,5 days ago,985 views because of manny wow wow wow grabe  985 views wow,1
Alejo Garcia jr,5 days ago,I may say u r pilipino by d n a,1
R,1 week ago,Good. It's about time. He has nothing left to prove. Ellie said Manny is the reason he got into boxing. That's not long. He a casual that just reports on boxing.,1
Alejo Garcia jr,5 days ago,Hope n wish u will reply my messaged to u eznews my loves,1
Manila ice Sports,1 week ago,"Mabuhay""",
Esca Bron,1 week ago,I see that you're putting Manny Pacquiao s name on a lot of your recent videos. Banking on a lot of view$..,
Alejo Garcia jr,5 days ago,See u in d philippines ok promise me  come n ill see u in d airport ok u stay with me im from makati city,1
Alejo Garcia jr,5 days ago,Sures u will billions views coz of manny retiretment n being presidents ok,1
Mr Vegas,1 week ago (edited),1 caller said he think pacman could have beat Spence?!!!! Bruh did you not see the ugas fight? Manny would still be in the hospital fighting Spence. Cut it out,
Arthur Ramos,1 week ago,Reporting,
Manila ice Sports,1 week ago,Reporting.....,
Author,Comment Posted,Content,Like
Bruce Doyle,1 week ago,"So finally a Era is ending.. there was exactly 3 Eras where one Boxer ruled over the Boxing world in more ways than just Winning or Loosing. He was the Peoples Champs, just like Ali and Mike Tyson. Those 3 Ms, Muhammad, Mike and Manny created their Era, no hate towards other legendary Boxers like George Foreman, Evander Holyfield or Mayweather, they are all amazing boxer but only lived in under the Era of those 3 Legends.",20
Hitman808,1 week ago,So sad...a legend and hall of famer. God bless him.,21
Ayyy... Yoooww...,1 week ago,"""THE GREATEST BOXER & PERSON OF ALL TIME."" 🐐🐐🐐 Thank you so Manny. 😭😭",17
fvhitman4hire,3 days ago,There will NEVER be another Manny Pacquiao... Thank you for the memories.,4
Tribute101*,1 week ago,"Heroes grow old👴

Legends live on🥊",4
Cee Lee,1 hour ago (edited),Pacman is a once in a lifetime gift. We can never ever see an 8 division champ again. His record will never be surpassed. It is impossible.,1
Gpax Warrior,1 week ago,So sad to see my idol retiring but happy at the same time because he’s old now I don’t want to see him get hurt before he retires.👊🏼🇵🇭👊🏼,4
T Mayorca,1 week ago,One of the greatest boxers of all time!  What's next for him?,12
john de juan,1 week ago,Manny Pacquiao is the first and only fighter in the history of boxing who is credited with lineal championships in five different weight classes became lineal champ at age of 19.. Nobody has done 3 division lineal champ yet.,11
Al Ochoa,1 week ago,Brian the Hawaiian punch villoria is a legend himself he will be inducted in the boxing hall a fame,1
Taamaho,1 week ago,Gonna. Miss you legend 😭😭😭😭,5
Marissa Galarosa Borja,2 days ago,GOAT! HE WILL BE MISSED,
Scorpio Side,1 week ago,legend never die,3
K4gaw,6 days ago,GREATEST OF ALL TIME!!! N0. 1 BOXER IN THE WORLD,2
Joseph Badua,1 week ago,Good luck Sen Manny Pacquiao one n only 8th division boxer.,4
kampmoto vlogs,1 week ago,the Goat of boxing!,2
Serhyuso Agamah,5 days ago,💓💓💓,1
Kevin John Duerme,1 week ago,Enjoy your retirement!!!!,1
Anakin Skywalker,1 week ago,Sad he couldn't make 30 years,1
Ryzes Villacortez,4 days ago,Finally,
Ding Got,5 days ago,Finally,
Thon Gardiola,1 week ago,🇵🇭🇵🇭🇵🇭,1
Riichan2,1 week ago,"who do u think will win 

Inoue vs 2001 pacman?",
rey czeck,6 days ago,"Sad thing to say is politics interfere in his boxing career. Where much more acceptable if he exit boxing, withought in politics in the first place.",
Vange Cruz,1 day ago,1998-2021,
Amore Mio,1 week ago,"Dont Worry Folks, he will come back after the election.. 100%, cause he will loss. I am a BIG boxing fans and supported him but this fights he will not WIN this one. Sorry but he is far from great politician.",1
Lone Cynner,1 week ago,No more pirewerks apter de pights 😢,1
Mark Flores,6 days ago,He is a legend in boxing but worst in politics.,1
wesley rodgers,1 week ago,Meh,
Onekewlbraddah,1 week ago,Filipino's do not vote him in as President.  You guys can do betteh!,6
Critique808,1 week ago (edited),This guy is very high on steroids.  Doesn't anybody notice?,
Author,Comment Posted,Content,Like
,1 week ago (edited),Is Manny Pacquiao a Top 3 boxer of all-time?,1.4K
Ricardo Martinez,1 day ago,Pacman fought everyone who was somebody in the game. He is one of the GOAT.,7
Sad Child,1 week ago,I was expecting a run down on Pacquiao's great career and just appreciation for all he's done for the sport then it immediately turned into a floyd - manny debate all over again lmao,509
Maria,1 week ago (edited),"We’re going to miss watching him fight  in the ring. He’s a true boxing champ and yet remained so humble, a trait you’ll seldom find in professional boxers. All the best  Manny, we’ll miss you 👏👏👏",260
Julie Arnold,3 days ago,Pacquiao’s retirement is the end of an era. Respect!,7
Conrad Ilagan,4 days ago,"One of the greatest! He trash talk through his punches in the ring. He’s no Ali, he’s no Mike, he is the Pac-Man! 🥊🔥",4
Kirk Adrian Villanueva,1 week ago,Pac's retirement is symbol of The end of an era,916
KEV WANDERS,2 days ago,MANNY PACQUIAO was a Tough Act to FOLLOW!!. He's so damn  Humble..Always helping people especially the poor once.. I saw him once in Downtown LA once handed out some food and Cash on some people living in the streets. I know why he's so blessed 🙌🙌🙌,6
IamCceeLL,1 week ago (edited),"that pac vs morales trilogy would still be one of the greatest ""FIGHTS"" in boxing history.",244
Barangay Tanod,6 days ago,when he challenges errol spence without a doubt. its very clear that manny pacquaio is not ducking anybody! he is legit fighter!,138
RandomUser,10 hours ago,It has been an honor to witness his career from start to finish! I was lucky to be born and understand how boxing works. Manny made me love boxing!,2
Ninef Sargis,1 week ago,"Manny Pacuiao was must see boxing every time, in my top 5 for sure.",369
× Living 'd Reality ×,3 days ago,"I know that time would come and this video will hit up to generations. So I'm leaving this comment to let y'all know that I existed during Manny Pacquiao's Legendary career. I swear, he's a Legend! Incomparable! An all time great! ❤️❤️❤️ Love from his Fellow Filipino fan.",60
Cayanan Creatives,5 days ago,Manny is so great. He went from 108 lbs to 154 while running on rice and chicken tinola!,115
dahlia,4 days ago,Ive started watching him during my elementary days now im turning 30. He has never changed despite everything he has achieved,2
Amore Mio,1 week ago,Imagine him fighting at 106 lbs while his he was only 98lbs.. at age 16 yo. Manny is truly TOP 3 ATG...,103
Thomas Carlo Educalane,1 week ago,"What I like most about Pacquiao is that he fights anybody, not afraid to anybody and not afraid to lose. He just wanted to from bell to bell.
Not to forget his humbleness!",206
Jon,1 week ago,"Manny is a gift. He inspired us for so long, in fact i always watched the morales-pacquiao 1 fight, before i review my engineering assignment, as a working student during my college time. I learned to love reading newspaper because of him, i read boxing news at the library everyday before going into class.  floyd only agreed to fight a fighter if his uncle jeff and father floyd sr whispered to his both ears to pick that person. Thank you Manny you are a guiding light and a source of inspiration!!!",47
Mr.dwyanes Wade,5 days ago (edited),"I had the same feeling when kobe retires 😭 another legend on our era retires. God bless you Manny ""Pacman"" Pacquiao!",94
jason sareno,1 week ago,"Manny and Floyd are the two different fighters you can't compare, they are unique and both great. they are the two greatest creatures that change the sport",74
Ronil Salazar,1 week ago,"Pacquiaos retirement is just so special than any other boxers, idk but we should be thankful growing up witnessing true greatness!!",170
Stick 2 The Jab Boxing,1 week ago,Sad to see you go! You are a true boxing legend. Congratulations on your new career. Best of luck in your future endeavors! You will NEVER be forgotten!!!! 🙏✝ MAY GOD COVER YOU AND PROTECT YOU ALWAYS!!!!🙏✝ Thank you...for all of the wonderful memories! Manny Pacquiao one of the greatest of ALL TIMES!!!!!  👊🏆 🌟🏆 🏅 🏆 🌟 👊🏆 🌟,29
astrid sekie,6 days ago,The last remaining giant just hang up his gloves... nothing but a a big THANK YOU Pacman..,103
James Beloit,4 days ago,One of the greatest of all time that’s all people need to say and remember,42
Michael Frost,4 days ago,Im soo pleased he has retired as l don't want him to get hurt . What a great man and champion. 😊😊,99
Eleven Quest,1 week ago (edited),"He always showed us what fight really is, what's the real fight. He fought all the best , he was in flyweight and able to fight in Welterweight no one can do that again in boxing history .. He deserved to be remembered in boxing's history WHAT A LEGEND",175
XHUNTERX 2.0 Channel,4 days ago,Thank you for everything you do in the boxing 🥊 Manny Pacquiao we will miss you again and your the real Goat 🐐 for all of us and all over Filipino’s,9
AnimeHub,5 days ago,We love you Skip. I feel you .  Thank you for supporting the champ during the first day!  But we should accpt the fact that human can't  live longer in this world we're all getting age and  Pacquiao does.,27
Jhay Laytz,3 days ago,I will always remember Mr. Skip for this. Thank you!!! - from 🇵🇭,3
kiosy,2 days ago,"It will probably take a long time before we get another boxers like these legends in the past 3 or 4 decades.
What I liked about Pacquiao especially is he made people who are not even interested in boxing, be excited watching his fights. I'm glad I witnessed that era and I still have time for the next generation of legends.",1
Mr. Awesome,1 week ago,"Thank you  for the boxing memories Sen. Manny,  we will miss you in the ring, typing this with teary eyes.",40
-BLACKED- • 28 years ago .,1 day ago (edited),the pacquiao-mayweathee fight was an even better Tom and Jerry Live Action than the real tom and jerry movie!,2
Nelson Beltran,6 days ago,"He will always be our beloved and greatest fighter! 
God bless you 
Manny PACMAN Paquiao!🙏💞🇵🇭",3
MotoLour,1 day ago,I remember those days when Filipino's were united as one when he fights. Streets were silent but you'll hear the shouts of those who watches the fights in their homes.,
sam guapo,2 days ago (edited),"At first i thought Paquiao lost the Mayweather fight when I first saw it. When I watched it the 2nd time.. I realised Paquiao actually WON that fight. In fairness, Marquez had the upperhand in 2 of his 3 fights with Paquiao.",1
CoD BUBUGG,1 week ago,I feel you Skip. He's one of the biggest Pacman fan i know fr,68
Tjay Metal,2 hours ago,"I respect him more than mayweather. 

The saying “he fought literally everybody” is actually faxxxxxx dude fight champs from 8 different division, and defend against top dogs.",2
Munch Ten,2 days ago,It's the end of an era now paving the way to the new generation. I hope that someday someone can achieve or surpass the era he had in boxing. Goodluck to all future fighters of this renowned sport!,
March Depositario,4 days ago,That span from 2010-2014 would've been the best years the fight btween Pac and May to have happen. Its just Floyd doesn't any piece of Pac from that stretch.,1
gabrielK,1 day ago,"Can we just appreciate that we witnessed greatness? Im a pacman fan, but i believe mayweather won the fight. Both Pacman and Mayweather are so great, that after their fight, debates are still going on and people want to see more. Thats Greatness Personified for both gentlemen. And this was just a great reminder on how time has flown.",
Norcal1 USA,1 week ago,EMMANUEL DAPIDRAN PAC-MAN PACQUIAO is a LEGENDARY man for endless reasons.,108
dcta51,6 days ago,It sucks that we were robbed of the Spence fight. I still think he woulda been a complete animal to him win or lose!,28
Jay R Sebastian,3 days ago,A day of His Fight and a day of peace while watching His entire game. I can say it such a world peace.,
Kid goku,1 week ago,Thank you Manny for everything you did for the boxing community and the Philippines 🇵🇭 🙏  your a legend in so many categories there will never be anther human beings like yourself wish you the best in your next stage of life! 🥊1️⃣❤,1
gracie newgate,12 hours ago,i just love skip!!!!! he really adores pacman❤️,
joseph padilla,1 week ago,ur even greater skip for being a appreciative fan,38
Michael Overton,1 week ago,"Pacquiao is one of the very, very few all time great fighters who would fight anyone at any time and anywhere while he was holding a Championship Belt. For someone of his status once he became champion he didn't fight in his country of the Philippines at least to my knowledge anyway. As champion he went all the way to damn Australia to fight Jeff Horn who does that. Congratulations on a amazing, amazing career Pac Man. I Salute You",22
Beeman 2892,2 days ago,"Although i lost a bet on his last match .respect and he indeed is a Legend

GOAT🐏",
naktete,3 days ago,Boxing will never be the same 😂 that excitement it brings when you hear the entrance theme Eye of the Tiger ☺️,
Benjie,3 days ago,maaaann.. i missed those fights when manny was in his prime...the crowd... the hype . meeeenn!! GOAT MANNY PACQUIAO,
JasonTheWorldisYours,1 week ago,I enjoyed watching Manny career. Much success to him in politics 💯,98
Marissa Dionisio,1 week ago (edited),Manny Pacquiao will always stay in our hearts   ..SALUTE!,13
Jeffrey Cuaton,2 days ago,"Respect for these 2 commentators, they really do know from the bottom of their hearts who PACQUIAO really is...",
JRDuran,2 days ago,He’s the GOAT no one can take that from him.,
Z&J,3 days ago,What I will remember manny is his respect and humility. No trashtalking to hype the fans. And a pacific typhoon inside the ring,
Jose Antonio Delgado,1 week ago,There can be only one and his name is Manny (Pacman) Pacquiao. # RESPECT,77
Ginoong JILAR,19 hours ago,"As a Filipino, my respect goes to Manny being one of the most gifted athletes of all time. But to even dream of becoming the Philippines' president??? Nah🤔",
Ongee Argos,1 week ago,"Everything must come to an end unfortunately, great job Manny I salute you time to enjoy your retirement . Skip you almost let out a tear 😜",7
